IP Address,attitude,likely_Identified,likely_Anonymous,likely_Facebook
117.196.250.34,3,5,5,5
94.193.12.61,1,3,2,3
107.77.234.86,2,4,4,4
42.111.136.150,3,2,2,2
2.39.80.254,3,1,2,1
157.39.51.27,2,4,3,4
171.61.242.203,1,5,4,4
71.197.111.172,1,4,4,4
209.197.30.140,2,4,4,4
71.197.111.172,3,5,5,3
157.51.233.69,3,4,4,3
98.153.62.11,1,4,5,4
157.51.233.69,1,2,3,2
68.134.60.150,1,3,2,3
98.153.62.11,2,4,5,4
189.38.41.188,2,5,4,5
71.231.189.51,2,4,4,2
24.7.72.40,3,4,4,3
122.174.112.121,1,3,3,2
24.7.72.40,1,3,3,2
71.239.250.165,3,1,1,2
103.78.159.61,3,1,2,1
76.126.178.243,3,3,3,3
99.42.41.84,2,4,4,3
117.213.37.161,2,3,3,4
171.61.242.187,1,4,5,4
171.61.242.216,1,4,5,4
94.62.113.234,3,2,2,1
103.99.150.129,2,5,3,4
49.37.192.21,1,4,5,5
157.51.165.241,3,2,2,1
157.51.165.241,1,5,4,4
72.79.149.249,3,1,1,1
157.51.94.133,2,4,3,5
